Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	1.41273281E+01	
2.50000000E+00	1.40111897E+01	
5.00000000E+00	1.36631627E+01	
7.50000000E+00	1.30864435E+01	
1.00000000E+01	1.22900404E+01	
1.25000000E+01	1.12961197E+01	
1.50000000E+01	1.01536626E+01	
1.75000000E+01	8.95857062E+00	
2.00000000E+01	7.86702368E+00	
2.25000000E+01	7.06193099E+00	
2.50000000E+01	6.64692528E+00	
2.75000000E+01	6.56263650E+00	
3.00000000E+01	6.64244360E+00	
3.25000000E+01	6.72722855E+00	
3.50000000E+01	6.71707400E+00	
3.75000000E+01	6.56482301E+00	
4.00000000E+01	6.25589931E+00	
4.25000000E+01	5.79336925E+00	
4.50000000E+01	5.18982457E+00	
4.75000000E+01	4.46367811E+00	
5.00000000E+01	3.63778142E+00	
5.25000000E+01	2.73900296E+00	
5.50000000E+01	1.79779725E+00	
5.75000000E+01	8.46952389E-01	
6.00000000E+01	-8.10692836E-02	
6.25000000E+01	-9.58172638E-01	
6.50000000E+01	-1.76502303E+00	
6.75000000E+01	-2.49397178E+00	
7.00000000E+01	-3.14902004E+00	
7.25000000E+01	-3.74283450E+00	
7.50000000E+01	-4.29232836E+00	
7.75000000E+01	-4.81463787E+00	
8.00000000E+01	-5.32454377E+00	
8.25000000E+01	-5.83342015E+00	
8.50000000E+01	-6.34926142E+00	
8.75000000E+01	-6.87726299E+00	
9.00000000E+01	-7.42057002E+00	
9.25000000E+01	-7.98096930E+00	
9.50000000E+01	-8.55940538E+00	
9.75000000E+01	-9.15624880E+00	
1.00000000E+02	-9.77125269E+00	
1.02500000E+02	-1.04031308E+01	
1.05000000E+02	-1.10487077E+01	
1.07500000E+02	-1.17016777E+01	
1.10000000E+02	-1.23512368E+01	
1.12500000E+02	-1.29812798E+01	
1.15000000E+02	-1.35714189E+01	
1.17500000E+02	-1.41012933E+01	
1.20000000E+02	-1.45585573E+01	
1.22500000E+02	-1.49481579E+01	
1.25000000E+02	-1.52980050E+01	
1.27500000E+02	-1.56573381E+01	
1.30000000E+02	-1.60887921E+01	
1.32500000E+02	-1.66581733E+01	
1.35000000E+02	-1.74235274E+01	
1.37500000E+02	-1.84177926E+01	
1.40000000E+02	-1.96076361E+01	
1.42500000E+02	-2.08041247E+01	
1.45000000E+02	-2.15854244E+01	
1.47500000E+02	-2.15582442E+01	
1.50000000E+02	-2.08858010E+01	
1.52500000E+02	-2.00998626E+01	
1.55000000E+02	-1.95930347E+01	
1.57500000E+02	-1.95539116E+01	
1.60000000E+02	-2.00711932E+01	
1.62500000E+02	-2.11750281E+01	
1.65000000E+02	-2.27335784E+01	
1.67500000E+02	-2.40573639E+01	
1.70000000E+02	-2.38908433E+01	
1.72500000E+02	-2.23903044E+01	
1.75000000E+02	-2.08327304E+01	
1.77500000E+02	-1.98192403E+01	
1.80000000E+02	-1.94765467E+01	
