Far field
"Frequency"[Hz]	"FarField1 [dBi]"	
5.00000000E+07	1.41273281E+01	
5.25000000E+07	1.45147119E+01	
5.50000000E+07	1.45904237E+01	
5.75000000E+07	1.45565020E+01	
6.00000000E+07	1.45041033E+01	
6.25000000E+07	1.48055573E+01	
6.50000000E+07	1.53199459E+01	
6.75000000E+07	1.56107852E+01	
7.00000000E+07	1.56496633E+01	
7.25000000E+07	1.49521523E+01	
7.50000000E+07	1.32081085E+01	
7.75000000E+07	1.04512041E+01	
8.00000000E+07	7.28807824E+00	
8.25000000E+07	6.88229632E+00	
8.50000000E+07	1.14191785E+01	
8.75000000E+07	1.44140215E+01	
9.00000000E+07	1.58370212E+01	
9.25000000E+07	1.70325382E+01	
9.50000000E+07	1.84605109E+01	
9.75000000E+07	1.95529144E+01	
1.00000000E+08	1.95495303E+01	
1.02500000E+08	1.83287804E+01	
1.05000000E+08	1.91801519E+01	
1.07500000E+08	2.01955886E+01	
1.10000000E+08	2.07589382E+01	
1.12500000E+08	2.08970735E+01	
1.15000000E+08	2.10551953E+01	
1.17500000E+08	2.15252689E+01	
1.20000000E+08	2.22832690E+01	
1.22500000E+08	2.21744333E+01	
1.25000000E+08	2.14075263E+01	
1.27500000E+08	2.22266690E+01	
1.30000000E+08	2.32944345E+01	
1.32500000E+08	2.39010021E+01	
1.35000000E+08	2.41955467E+01	
1.37500000E+08	2.44786542E+01	
1.40000000E+08	2.44356519E+01	
1.42500000E+08	2.39016781E+01	
1.45000000E+08	2.27871602E+01	
1.47500000E+08	2.30157720E+01	
1.50000000E+08	2.41865899E+01	
1.52500000E+08	2.49931151E+01	
1.55000000E+08	2.55974018E+01	
1.57500000E+08	2.59696240E+01	
1.60000000E+08	2.61846916E+01	
1.62500000E+08	2.58132228E+01	
1.65000000E+08	2.47746020E+01	
1.67500000E+08	2.37284431E+01	
1.70000000E+08	2.47905585E+01	
1.72500000E+08	2.60780706E+01	
1.75000000E+08	2.65434217E+01	
1.77500000E+08	2.67539588E+01	
1.80000000E+08	2.69223985E+01	
1.82500000E+08	2.69533978E+01	
1.85000000E+08	2.63906397E+01	
1.87500000E+08	2.50292780E+01	
1.90000000E+08	2.40554860E+01	
1.92500000E+08	2.52716911E+01	
1.95000000E+08	2.65189199E+01	
1.97500000E+08	2.69953744E+01	
2.00000000E+08	2.72034406E+01	
